date,electricity_consumption,water_consumption
2020-10-04,106.96,47.76
2020-10-05,114.21,49.42
2020-10-06,109.57,48.6
2020-10-07,106.04,49.67
2020-10-08,101.24,46.86
2020-10-09,105.56,47.98
2020-10-10,110.81,50.4
2020-10-11,112.31,51.99
2020-10-12,105.59,49.14
2020-10-13,112.06,48.63
2020-10-14,104.8,46.09
2020-10-15,99.88,44.17
2020-10-16,106.59,46.98
2020-10-17,107.38,53.09
2020-10-18,111.65,49.78
2020-10-19,114.04,53.0
2020-10-20,105.21,48.07
2020-10-21,102.15,45.2
2020-10-22,94.45,47.18
2020-10-23,107.26,52.67
2020-10-24,113.14,52.24
2020-10-25,108.76,52.06
2020-10-26,122.64,51.28
2020-10-27,113.07,52.7
2020-10-28,109.26,49.15
2020-10-29,104.39,46.47
2020-10-30,109.4,48.15
2020-10-31,115.14,49.05
2020-11-01,112.47,56.28
2020-11-02,116.03,51.19
2020-11-03,129.96,54.44
2020-11-04,126.21,54.65
2020-11-05,120.54,53.59
2020-11-06,108.57,51.85
2020-11-07,113.48,54.06
2020-11-08,124.44,56.3
2020-11-09,119.78,55.27
2020-11-10,118.14,49.83
2020-11-11,115.19,50.25
2020-11-12,108.42,48.74
2020-11-13,112.83,52.17
2020-11-14,114.18,56.51
2020-11-15,115.97,52.13
2020-11-16,123.26,54.07
2020-11-17,115.76,56.49
2020-11-18,115.19,51.51
2020-11-19,111.02,51.73
2020-11-20,120.85,52.07
2020-11-21,124.21,54.98
2020-11-22,124.12,54.17
2020-11-23,124.97,54.79
2020-11-24,123.64,52.38
2020-11-25,122.86,51.87
2020-11-26,116.52,56.82
2020-11-27,117.17,52.39
2020-11-28,127.18,57.75
2020-11-29,125.47,58.72
2020-11-30,127.5,57.52
2020-12-01,129.26,55.23
2020-12-02,126.93,57.03
2020-12-03,116.32,53.5
2020-12-04,121.6,55.01
2020-12-05,128.83,59.05
2020-12-06,126.28,59.52
2020-12-07,132.22,55.09
2020-12-08,129.97,56.97
2020-12-09,129.44,53.81
2020-12-10,121.39,53.81
2020-12-11,123.79,51.45
2020-12-12,126.34,59.04
2020-12-13,138.21,58.96
2020-12-14,131.18,60.29
2020-12-15,132.19,60.37
2020-12-16,126.55,58.83
2020-12-17,123.45,55.15
2020-12-18,125.99,59.27
2020-12-19,131.08,58.03
2020-12-20,135.08,55.07
2020-12-21,135.75,59.88
2020-12-22,138.6,60.02
2020-12-23,128.93,55.43
2020-12-24,130.0,56.34
2020-12-25,128.45,55.13
2020-12-26,137.13,60.56
2020-12-27,134.44,55.77
2020-12-28,135.15,58.6
2020-12-29,133.35,63.11
2020-12-30,133.76,58.52
2020-12-31,131.57,53.99
2021-01-01,133.85,56.25
2021-01-02,104.03,54.57
2021-01-03,118.22,56.56
2021-01-04,115.72,55.19
2021-01-05,122.49,55.76
2021-01-06,117.46,56.84
2021-01-07,114.19,50.76
2021-01-08,105.08,50.51
2021-01-09,108.47,50.37
2021-01-10,119.02,51.3
2021-01-11,115.28,54.54
2021-01-12,119.7,54.13
2021-01-13,118.51,56.07
2021-01-14,109.51,52.95
2021-01-15,103.33,51.01
2021-01-16,102.79,49.88
2021-01-17,119.3,56.94
2021-01-18,117.4,54.17
2021-01-19,118.27,52.4
2021-01-20,120.0,56.75
2021-01-21,110.98,50.52
2021-01-22,99.14,54.41
2021-01-23,113.69,48.72
2021-01-24,116.03,53.54
2021-01-25,118.5,53.62
2021-01-26,122.03,55.91
2021-01-27,122.89,55.09
2021-01-28,117.4,55.11
2021-01-29,114.07,53.53
2021-01-30,111.55,47.3
2021-01-31,112.85,58.54
2021-02-01,114.73,53.47
2021-02-02,120.97,57.29
2021-02-03,115.69,53.84
2021-02-04,117.54,56.96
2021-02-05,116.02,53.06
2021-02-06,112.77,51.88
2021-02-07,120.75,56.76
2021-02-08,121.1,57.31
2021-02-09,124.2,55.17
2021-02-10,122.78,54.26
2021-02-11,115.39,57.02
2021-02-12,116.61,52.77
2021-02-13,115.23,54.62
2021-02-14,119.72,55.9
2021-02-15,121.55,55.05
2021-02-16,120.27,54.61
2021-02-17,122.08,58.75
2021-02-18,117.79,53.09
2021-02-19,111.97,55.9
2021-02-20,112.82,55.72
2021-02-21,123.6,59.62
2021-02-22,127.46,54.94
2021-02-23,122.24,58.55
2021-02-24,121.31,57.83
2021-02-25,120.25,58.6
2021-02-26,112.37,51.52
2021-02-27,117.01,52.43
2021-02-28,123.26,57.58
2021-03-01,125.13,55.64
2021-03-02,124.55,55.59
2021-03-03,123.11,56.74
2021-03-04,123.61,56.33
2021-03-05,113.68,55.94
2021-03-06,120.12,57.2
2021-03-07,128.4,59.61
2021-03-08,122.33,61.94
2021-03-09,119.96,57.04
2021-03-10,126.89,53.63
2021-03-11,121.3,57.09
2021-03-12,118.45,51.87
2021-03-13,118.95,53.33
2021-03-14,128.46,56.9
2021-03-15,127.43,58.84
2021-03-16,126.36,60.4
2021-03-17,126.93,58.04
2021-03-18,124.25,51.02
2021-03-19,114.64,49.36
2021-03-20,122.08,45.66
2021-03-21,125.74,61.58
2021-03-22,126.86,60.6
2021-03-23,125.4,54.93
2021-03-24,122.77,59.22
2021-03-25,113.55,54.45
2021-03-26,117.25,55.58
2021-03-27,128.27,53.97
2021-03-28,127.1,60.25
2021-03-29,125.63,59.03
2021-03-30,131.36,51.65
2021-03-31,127.25,60.49
2021-04-01,125.58,55.76
2021-04-02,117.68,50.77
2021-04-03,123.14,56.27
2021-04-04,127.57,59.57
2021-04-05,125.89,62.14
2021-04-06,129.9,56.2
2021-04-07,122.81,62.55
2021-04-08,127.2,59.6
2021-04-09,119.57,54.9
2021-04-10,124.57,59.86
2021-04-11,130.03,61.39
2021-04-12,141.19,64.24
2021-04-13,121.65,53.73
2021-04-14,117.42,55.13
2021-04-15,112.08,52.87
2021-04-16,123.09,57.78
2021-04-17,127.16,58.21
2021-04-18,137.13,60.45
2021-04-19,132.59,56.99
2021-04-20,131.33,61.47
2021-04-21,133.29,63.92
2021-04-22,126.62,58.96
2021-04-23,126.91,56.55
2021-04-24,130.74,61.72
2021-04-25,132.53,58.4
2021-04-26,132.52,60.56
2021-04-27,135.9,62.25
2021-04-28,133.51,60.36
2021-04-29,130.47,59.44
2021-04-30,125.19,59.17
2021-05-01,128.23,57.92
2021-05-02,133.67,62.35
2021-05-03,134.64,65.07
2021-05-04,133.81,63.94
2021-05-05,130.07,65.1
2021-05-06,131.62,59.1
2021-05-07,123.53,59.41
2021-05-08,131.42,58.49
2021-05-09,127.58,65.82
2021-05-10,127.62,60.58
2021-05-11,121.27,64.08
2021-05-12,123.81,57.43
2021-05-13,131.12,60.38
2021-05-14,121.97,61.4
2021-05-15,127.08,58.55
2021-05-16,135.01,61.97
2021-05-17,137.42,65.04
2021-05-18,132.04,67.54
2021-05-19,138.85,63.0
2021-05-20,130.91,65.08
2021-05-21,125.91,59.5
2021-05-22,129.95,60.06
2021-05-23,135.03,63.86
2021-05-24,142.21,65.81
2021-05-25,139.23,64.01
2021-05-26,142.2,65.55
2021-05-27,129.07,62.82
2021-05-28,130.76,63.75
2021-05-29,130.54,63.97
2021-05-30,141.81,65.9
2021-05-31,137.33,61.79
2021-06-01,139.68,65.51
2021-06-02,144.01,63.44
2021-06-03,143.93,69.16
2021-06-04,139.17,67.48
2021-06-05,136.29,70.73
2021-06-06,147.68,68.9
2021-06-07,139.18,66.57
2021-06-08,141.01,64.16
2021-06-09,145.66,67.74
2021-06-10,134.55,62.91
2021-06-11,131.63,59.45
2021-06-12,134.62,62.72
2021-06-13,141.16,65.63
2021-06-14,144.1,70.83
2021-06-15,142.22,67.76
2021-06-16,146.62,68.67
2021-06-17,135.94,64.22
2021-06-18,137.5,65.79
2021-06-19,132.01,60.25
2021-06-20,146.41,66.25
2021-06-21,142.51,65.83
2021-06-22,144.25,61.59
2021-06-23,142.52,63.49
2021-06-24,138.81,63.48
2021-06-25,131.0,66.68
2021-06-26,135.0,65.52
2021-06-27,138.69,68.36
2021-06-28,140.68,65.71
2021-06-29,140.56,66.36
2021-06-30,139.11,62.08
2021-07-01,136.94,60.33
2021-07-02,127.9,56.89
2021-07-03,137.7,73.01
2021-07-04,142.77,73.25
2021-07-05,143.08,78.12
2021-07-06,143.98,66.4
2021-07-07,136.56,65.5
2021-07-08,136.15,67.77
2021-07-09,125.68,60.23
2021-07-10,133.09,61.87
2021-07-11,138.04,65.29
2021-07-12,144.64,65.2
2021-07-13,137.42,68.06
2021-07-14,140.28,64.84
2021-07-15,141.49,63.95
2021-07-16,127.65,57.15
2021-07-17,131.25,64.68
2021-07-18,135.68,63.11
2021-07-19,137.35,62.93
2021-07-20,132.11,62.94
2021-07-21,129.37,63.34
2021-07-22,134.15,62.2
2021-07-23,128.02,59.89
2021-07-24,131.53,60.92
2021-07-25,132.05,64.94
2021-07-26,136.5,65.02
2021-07-27,131.55,62.16
2021-07-28,130.92,61.73
2021-07-29,125.46,60.26
2021-07-30,124.08,53.53
2021-07-31,127.4,67.21
2021-08-01,139.22,70.11
2021-08-02,133.05,69.48
2021-08-03,126.74,61.74
2021-08-04,126.92,59.94
2021-08-05,122.74,59.98
2021-08-06,114.37,56.27
2021-08-07,118.29,56.43
2021-08-08,126.96,59.23
2021-08-09,128.19,55.49
2021-08-10,125.72,60.2
2021-08-11,130.6,57.04
2021-08-12,124.91,56.0
2021-08-13,111.8,55.6
2021-08-14,114.61,57.06
2021-08-15,125.03,56.36
2021-08-16,125.49,58.7
2021-08-17,122.3,56.14
2021-08-18,118.41,54.34
2021-08-19,117.14,56.23
2021-08-20,109.35,55.49
2021-08-21,117.84,51.96
2021-08-22,117.94,57.0
2021-08-23,123.74,51.84
2021-08-24,122.8,52.75
2021-08-25,121.2,53.03
2021-08-26,116.91,53.35
2021-08-27,105.85,52.68
2021-08-28,110.09,50.3
2021-08-29,115.15,53.85
2021-08-30,119.48,53.25
2021-08-31,116.69,66.73
2021-09-01,123.51,62.07
2021-09-02,114.0,61.91
2021-09-03,100.98,45.71
2021-09-04,107.47,54.28
2021-09-05,112.69,53.09
2021-09-06,113.49,49.84
2021-09-07,113.19,51.95
2021-09-08,118.91,54.37
2021-09-09,106.41,51.56
2021-09-10,101.51,48.87
2021-09-11,109.22,51.03
2021-09-12,114.53,51.09
2021-09-13,115.79,51.9
2021-09-14,115.28,51.16
2021-09-15,117.5,51.56
2021-09-16,108.09,54.07
2021-09-17,102.75,48.44
2021-09-18,104.62,52.07
2021-09-19,110.07,46.77
2021-09-20,112.52,50.15
2021-09-21,112.18,51.83
2021-09-22,133.18,56.64
2021-09-23,124.06,55.86
2021-09-24,120.8,51.54
2021-09-25,101.01,48.96
2021-09-26,110.84,50.49
2021-09-27,112.82,51.28
2021-09-28,112.92,54.7
2021-09-29,110.47,49.82
2021-09-30,103.54,50.28
2021-10-01,102.26,48.33
2021-10-02,109.59,50.3
2021-10-03,114.75,47.55
2021-10-04,106.92,48.31
2021-10-05,105.22,48.41
2021-10-06,111.85,44.54
2021-10-07,104.36,44.27
2021-10-08,106.18,47.76
2021-10-09,105.5,49.02
2021-10-10,111.81,49.68
2021-10-11,114.61,51.52
2021-10-12,106.93,50.42
2021-10-13,109.97,52.26
2021-10-14,105.44,46.89
2021-10-15,104.74,46.84
2021-10-16,106.69,44.22
2021-10-17,110.83,50.92
2021-10-18,112.92,55.05
2021-10-19,108.36,49.51
2021-10-20,115.36,50.92
2021-10-21,108.55,48.9
2021-10-22,103.41,50.73
2021-10-23,105.85,50.96
2021-10-24,110.0,51.72
2021-10-25,116.46,51.45
2021-10-26,107.54,47.32
2021-10-27,116.59,48.5
2021-10-28,113.63,52.92
2021-10-29,104.51,43.69
2021-10-30,112.78,51.19
2021-10-31,113.22,51.74
2021-11-01,115.08,50.26
2021-11-02,116.63,50.83
2021-11-03,116.89,50.81
2021-11-04,116.41,51.56
2021-11-05,106.58,47.88
2021-11-06,113.39,51.78
2021-11-07,128.08,53.56
2021-11-08,117.54,52.94
2021-11-09,114.53,53.24
2021-11-10,121.44,52.85
2021-11-11,114.19,49.13
2021-11-12,105.51,52.48
2021-11-13,116.44,54.61
2021-11-14,120.98,56.15
2021-11-15,116.22,52.73
2021-11-16,128.69,63.05
2021-11-17,130.83,59.68
2021-11-18,125.75,66.51
2021-11-19,114.15,54.37
2021-11-20,112.9,51.0
2021-11-21,122.26,56.36
2021-11-22,124.24,54.89
2021-11-23,124.76,52.72
2021-11-24,121.53,57.46
2021-11-25,118.09,52.44
2021-11-26,114.43,54.84
2021-11-27,117.77,51.11
2021-11-28,124.52,56.77
2021-11-29,126.9,54.76
2021-11-30,126.74,59.36
2021-12-01,124.76,56.44
2021-12-02,125.0,53.08
2021-12-03,117.2,51.34
2021-12-04,123.79,57.12
2021-12-05,125.66,60.53
2021-12-06,131.52,56.37
2021-12-07,130.1,54.32
2021-12-08,131.23,59.13
2021-12-09,126.2,53.39
2021-12-10,119.68,52.43
2021-12-11,123.8,55.57
2021-12-12,133.98,60.11
2021-12-13,135.84,61.23
2021-12-14,135.3,58.65
2021-12-15,137.92,58.31
2021-12-16,129.73,60.14
2021-12-17,124.39,55.61
2021-12-18,125.85,59.35
2021-12-19,136.78,60.22
2021-12-20,132.87,62.61
2021-12-21,136.3,60.06
2021-12-22,131.82,59.22
2021-12-23,125.97,56.51
2021-12-24,120.25,55.46
2021-12-25,134.46,57.29
2021-12-26,139.59,60.61
2021-12-27,139.73,60.32
2021-12-28,141.22,59.91
2021-12-29,131.35,56.49
2021-12-30,137.23,56.96
2021-12-31,126.71,57.1
2022-01-01,129.81,60.71
2022-01-02,109.9,49.66
2022-01-03,116.1,50.34
2022-01-04,118.01,54.54
2022-01-05,116.58,51.74
2022-01-06,113.66,53.86
2022-01-07,108.38,51.93
2022-01-08,109.75,52.44
2022-01-09,110.02,55.49
2022-01-10,114.11,58.43
2022-01-11,114.34,53.26
2022-01-12,117.14,53.53
2022-01-13,111.61,56.17
2022-01-14,114.06,51.1
2022-01-15,103.78,49.97
2022-01-16,107.06,53.1
2022-01-17,118.18,53.99
2022-01-18,114.05,47.38
2022-01-19,114.2,55.72
2022-01-20,117.19,52.71
2022-01-21,114.24,54.25
2022-01-22,110.56,50.6
2022-01-23,114.19,53.19
2022-01-24,120.4,55.99
2022-01-25,122.31,53.64
2022-01-26,124.65,53.05
2022-01-27,118.36,55.63
2022-01-28,114.72,56.31
2022-01-29,114.82,50.0
2022-01-30,111.49,48.27
2022-01-31,121.28,56.41
2022-02-01,119.14,59.49
2022-02-02,124.53,52.47
2022-02-03,118.14,57.2
2022-02-04,113.7,52.61
2022-02-05,110.42,50.95
2022-02-06,116.26,54.8
2022-02-07,120.34,54.63
2022-02-08,124.58,59.67
2022-02-09,124.84,56.89
2022-02-10,120.86,52.54
2022-02-11,121.51,56.63
2022-02-12,104.23,50.84
2022-02-13,104.4,50.81
2022-02-14,111.9,53.2
2022-02-15,123.8,55.11
2022-02-16,122.18,56.11
2022-02-17,122.9,53.19
2022-02-18,117.96,55.32
2022-02-19,110.93,54.88
2022-02-20,111.09,52.32
2022-02-21,120.66,56.69
2022-02-22,118.24,56.34
2022-02-23,123.61,54.75
2022-02-24,119.58,58.94
2022-02-25,119.49,54.57
2022-02-26,109.98,53.96
2022-02-27,117.7,50.91
2022-02-28,126.1,56.0
2022-03-01,128.88,59.18
2022-03-02,128.67,59.85
2022-03-03,126.29,57.29
2022-03-04,120.36,55.72
2022-03-05,116.12,54.1
2022-03-06,114.85,55.31
2022-03-07,123.54,58.11
2022-03-08,121.88,58.3
2022-03-09,114.07,54.96
2022-03-10,117.44,56.48
2022-03-11,124.29,55.56
2022-03-12,117.83,53.84
2022-03-13,119.76,54.48
2022-03-14,121.57,59.04
2022-03-15,129.28,63.3
2022-03-16,128.93,57.98
2022-03-17,129.19,59.79
2022-03-18,116.99,54.12
2022-03-19,116.09,58.69
2022-03-20,120.1,51.58
2022-03-21,129.56,56.9
2022-03-22,123.21,60.89
2022-03-23,126.55,59.61
2022-03-24,128.97,60.22
2022-03-25,127.54,57.04
2022-03-26,120.33,57.92
2022-03-27,121.75,55.93
2022-03-28,128.69,59.04
2022-03-29,125.98,56.12
2022-03-30,130.02,54.49
2022-03-31,129.29,62.41
2022-04-01,123.84,56.99
2022-04-02,120.32,51.63
2022-04-03,114.29,55.98
2022-04-04,128.79,57.41
2022-04-05,130.87,60.4
2022-04-06,133.49,63.24
2022-04-07,125.88,59.38
2022-04-08,128.07,55.88
2022-04-09,124.99,58.06
2022-04-10,118.15,56.55
2022-04-11,130.38,63.67
2022-04-12,131.68,62.22
2022-04-13,130.58,62.27
2022-04-14,132.69,60.17
2022-04-15,124.02,59.83
2022-04-16,119.99,57.16
2022-04-17,120.92,62.17
2022-04-18,125.09,58.64
2022-04-19,134.09,57.94
2022-04-20,133.25,63.89
2022-04-21,132.56,60.7
2022-04-22,128.57,60.49
2022-04-23,118.97,58.71
2022-04-24,130.98,60.05
2022-04-25,126.59,63.02
2022-04-26,131.83,58.29
2022-04-27,133.97,69.08
2022-04-28,135.05,69.74
2022-04-29,131.13,66.23
2022-04-30,124.26,59.69
2022-05-01,124.8,60.67
2022-05-02,133.93,65.08
2022-05-03,134.03,64.98
2022-05-04,137.75,61.13
2022-05-05,129.27,62.21
2022-05-06,131.3,61.27
2022-05-07,124.53,55.66
2022-05-08,123.64,59.19
2022-05-09,136.97,63.55
2022-05-10,131.46,60.8
2022-05-11,140.66,60.04
2022-05-12,134.59,64.26
2022-05-13,130.81,60.94
2022-05-14,130.19,63.41
2022-05-15,121.46,59.42
2022-05-16,136.97,65.16
2022-05-17,136.27,64.5
2022-05-18,133.77,64.33
2022-05-19,134.32,62.17
2022-05-20,130.43,61.24
2022-05-21,123.44,66.24
2022-05-22,128.58,61.64
2022-05-23,133.12,68.14
2022-05-24,137.58,64.13
2022-05-25,141.46,60.57
2022-05-26,133.18,56.88
2022-05-27,123.9,57.12
2022-05-28,123.79,55.76
2022-05-29,129.53,60.73
2022-05-30,138.5,67.61
2022-05-31,146.39,65.85
2022-06-01,141.61,69.65
2022-06-02,140.92,62.68
2022-06-03,132.94,58.91
2022-06-04,131.22,60.8
2022-06-05,138.66,66.76
2022-06-06,149.28,63.58
2022-06-07,141.27,64.19
2022-06-08,149.45,67.72
2022-06-09,144.86,68.18
2022-06-10,141.79,63.71
2022-06-11,130.57,59.09
2022-06-12,135.49,63.51
2022-06-13,140.52,68.12
2022-06-14,141.36,65.55
2022-06-15,140.36,68.27
2022-06-16,140.41,69.89
2022-06-17,138.17,63.5
2022-06-18,130.12,65.77
2022-06-19,139.01,63.35
2022-06-20,150.21,66.42
2022-06-21,142.04,66.17
2022-06-22,144.37,65.14
2022-06-23,143.39,71.35
2022-06-24,138.01,64.64
2022-06-25,133.02,59.44
2022-06-26,138.44,62.91
2022-06-27,140.09,69.74
2022-06-28,129.69,63.4
2022-06-29,129.95,68.71
2022-06-30,130.89,64.38
2022-07-01,138.72,62.66
2022-07-02,128.45,64.43
2022-07-03,132.14,63.38
2022-07-04,137.54,67.11
2022-07-05,126.29,68.35
2022-07-06,134.41,66.89
2022-07-07,131.77,62.93
2022-07-08,119.33,62.04
2022-07-09,120.66,58.05
2022-07-10,132.53,60.89
2022-07-11,136.28,66.7
2022-07-12,137.83,65.51
2022-07-13,140.99,63.06
2022-07-14,134.82,65.68
2022-07-15,133.02,64.46
2022-07-16,127.81,59.08
2022-07-17,140.27,69.57
2022-07-18,148.04,70.13
2022-07-19,146.81,70.04
